Designator,Mid X,Mid Y,Rotation,Layer
D1,100.0125,-36.195,90.0,bottom
D10,100.0125,-93.345,90.0,bottom
D11,119.0625,-93.50375,90.0,bottom
D12,138.1125,-93.50375,90.0,bottom
D2,119.0625,-36.35375,90.0,bottom
D3,138.1125,-36.195,90.0,bottom
D4,100.0125,-55.40375,90.0,bottom
D5,119.0625,-55.245,90.0,bottom
D6,138.1125,-55.40375,90.0,bottom
D7,100.0125,-74.295,90.0,bottom
D8,119.0625,-74.295,90.0,bottom
D9,138.1125,-74.45375,90.0,bottom
MOTION1,137.36,-25.7,90.0,top
OLED1,83.8,-22.8,0.0,top
SW1,90.4875,-36.01,0.0,top
SW10,90.4875,-93.16,0.0,top
SW11,109.5375,-93.16,0.0,top
SW12,128.5875,-93.16,0.0,top
SW2,109.5375,-36.01,0.0,top
SW3,128.5875,-36.01,0.0,top
SW4,90.4875,-55.06,0.0,top
SW5,109.5375,-55.06,0.0,top
SW6,128.5875,-55.06,0.0,top
SW7,90.4875,-74.11,0.0,top
SW8,109.5375,-74.11,0.0,top
SW9,128.5875,-74.11,0.0,top
U1,109.08,-116.6815,180.0,top
